lambda,carrot_quality,carrot_latency,carrot_slo_ttft,carrot_slo_tpot,carrot_slo_e2e,ours_quality,ours_latency,ours_slo_ttft,ours_slo_tpot,ours_slo_e2e,irt_quality,irt_latency,irt_slo_ttft,irt_slo_tpot,irt_slo_e2e,num_prompts
0.0,0.6201376421304609,40.076678265308416,0.5258160237388724,0.7673590504451039,0.5246290801186944,0.5808523409363746,11.23782422705291,0.9994065281899109,0.9934718100890207,0.9994065281899109,0.6222689075630252,37.53755809560374,0.6593471810089021,0.7181008902077152,0.6516320474777448,1685
0.1,0.6272155688622755,40.38539715633902,0.5204747774480712,0.7566765578635015,0.5169139465875371,0.5815726290516207,11.275116683326065,0.998813056379822,0.9922848664688427,0.9994065281899109,0.6257194244604317,38.48546507464672,0.6421364985163205,0.7364985163204748,0.6362017804154303,1685
0.2,0.6352007189934092,41.47106936253851,0.49970326409495547,0.7293768545994065,0.49258160237388726,0.5829136690647483,11.378277161284087,0.9982195845697329,0.9893175074183976,0.998813056379822,0.6278177458033573,38.88031403572694,0.6367952522255192,0.7287833827893175,0.629080118694362,1685
0.30000000000000004,0.6431995206710606,42.12752286715748,0.4890207715133531,0.7086053412462908,0.4807121661721068,0.5839232153569287,11.560377573471749,0.9982195845697329,0.9833827893175074,0.998813056379822,0.6330137807070102,39.61862716872897,0.6219584569732938,0.7151335311572701,0.6106824925816023,1685
0.4,0.6529976019184653,42.85872068518347,0.4807121661721068,0.6765578635014837,0.4658753709198813,0.5908573141486811,12.138439557389619,0.9934718100890207,0.9655786350148368,0.9916913946587537,0.6370281605751947,40.297443362725595,0.6059347181008902,0.6991097922848665,0.5922848664688427,1685
0.5,0.6572929171668669,43.88036790389336,0.4646884272997033,0.6581602373887241,0.44688427299703265,0.6061187762447511,14.42547649035468,0.971513353115727,0.9068249258160237,0.9614243323442137,0.6408273381294964,41.3100790255855,0.5875370919881305,0.6735905044510386,0.568545994065282,1685
0.6000000000000001,0.6691546762589928,44.68076875089538,0.4617210682492582,0.6166172106824925,0.4344213649851632,0.6332534451767526,18.823603577005404,0.9103857566765579,0.797032640949555,0.886053412462908,0.6554289142171567,42.243012139493,0.5691394658753709,0.6403560830860534,0.543026706231454,1685
0.7000000000000001,0.673247453565009,44.597793011566296,0.46943620178041545,0.5839762611275965,0.4373887240356083,0.6522768124625525,26.368185449990744,0.7952522255192879,0.6729970326409496,0.7554896142433234,0.6703836930455634,43.158901085697934,0.5448071216617211,0.5887240356083087,0.5091988130563798,1685
0.8,0.6776213301378071,44.333433503849925,0.4836795252225519,0.5382789317507418,0.4427299703264095,0.6742070616397366,33.870652821792696,0.6718100890207716,0.5483679525222552,0.6201780415430267,0.6791442250149612,43.686225604445006,0.5305637982195845,0.5311572700296736,0.4801186943620178,1685
0.9,0.6836826347305389,43.835100579332526,0.5002967359050445,0.4771513353115727,0.4433234421364985,0.6813473053892216,39.33634901683479,0.5857566765578635,0.4658753709198813,0.5252225519287834,0.6829041916167665,43.93495936903119,0.5210682492581602,0.4658753709198813,0.4599406528189911,1685
1.0,0.6866467065868264,43.00985777441755,0.5287833827893175,0.4130563798219585,0.4593471810089021,0.6866467065868264,43.00985777441755,0.5287833827893175,0.4130563798219585,0.4593471810089021,0.6866467065868264,43.00985777441755,0.5287833827893175,0.4130563798219585,0.4593471810089021,1685
