request_id,timestamp,prompt_id,model_id,gpu_id,p_tokens,running_req_count,waiting_req_count,kv_cache_usage_perc,ttft_avg,itl_avg,e2e_avg,ttft_s,tpot_s_per_token,latency_s,d_tokens,pattern_type,arrival_rate
0f777fbc-acbd-4a27-bd78-ff80873992b1,2025-11-12T20:35:45.442114,0,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,30,0,0,0,0,0,0,23.829964637756348,0.015533747095050234,38.183146953582764,924,poisson,2.0
c1ec77bd-5229-4d1b-a41c-8a1f880e63bf,2025-11-12T20:36:00.559255,5,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,Tesla V100-PCIE-32GB,14,0.0,0.0,0.0,0.0,0.0,0.0,6.3449413776397705,0.058710907444809425,10.219861268997192,66,poisson,5.0
d361fbc6-bfb1-4452-985b-5fa8186feb81,2025-11-12T20:36:03.678469,8,Qwen/Qwen2.5-1.5B-Instruct,Tesla V100-PCIE-32GB,9,0.0,0.0,0.0,0.0,0.0,0.0,7.047323703765869,0.39844014094426083,12.22704553604126,13,poisson,5.0
cba67c5c-7bc4-4540-b836-369ef5a4b435,2025-11-12T20:37:15.213254,2,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,6,0.0,0.0,0.0,0.0,0.0,0.0,25.219972133636475,0.12556670346849869,85.11528968811035,477,poisson,5.0
0c26cbe2-c4bd-4a8a-8de3-efa2e3216486,2025-11-12T20:37:55.755481,0,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,30,0.0,0.0,0.0,17.81181001663208,0.014034712238315554,32.16873860359192,25.970066785812378,0.11037173428378262,126.40834498405457,910,poisson,5.0
94754a5c-ba9e-4acb-84da-779552109909,2025-11-12T20:38:05.265273,3,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,12,0.0,0.0,0.0,0.0,0.0,0.0,25.101515531539917,0.11585718437291297,135.04998350143433,949,poisson,5.0
ac7aea5c-9feb-4038-b631-f63c83600527,2025-11-12T20:38:05.265305,1,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,9946,0.0,0.0,0.0,0.0,0.0,0.0,25.83275818824768,0.10821623994609503,135.78045797348022,1016,poisson,5.0
27a64363-5ea9-41c6-9366-dffb69975a2c,2025-11-12T20:38:19.358113,8,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,9,0.0,0.0,0.0,0.0,0.0,0.0,3.6541860103607178,0.011427051768807355,9.379138946533203,501,poisson,10.0
4a37f6b9-b5d0-4d9d-bff7-6b0649f90c2a,2025-11-12T20:38:27.192793,0,Qwen/Qwen2.5-1.5B-Instruct,Tesla V100-PCIE-32GB,30,0.0,0.0,0.0,6.353924036026001,0.39847306720912457,11.533817052841187,8.40700387954712,0.23254246371132986,18.173787355422974,42,poisson,10.0
73c18c64-1220-473f-ba03-98a07dc97e0e,2025-11-12T20:38:27.321729,2,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,6,0.0,0.0,0.0,23.912287950515747,0.08749197148377212,102.82980375289917,4.5967512130737305,0.014127093492095004,18.300031900405884,970,poisson,10.0
61a61467-d9d8-435c-86ee-0416ca5b37cc,2025-11-12T20:38:29.565036,5,Qwen/Qwen2.5-1.5B-Instruct,Tesla V100-PCIE-32GB,14,0.0,0.0,0.0,0.0,0.0,0.0,14.810311317443848,0.047439767254723444,19.93380618095398,108,poisson,10.0
20af7464-25e5-4599-8b5d-79d071e1f395,2025-11-12T20:38:32.133722,4,Qwen/Qwen2.5-1.5B-Instruct,Tesla V100-PCIE-32GB,5,0.0,0.0,0.0,0.0,0.0,0.0,15.043148040771484,0.04718929712026397,22.73500347137451,163,poisson,10.0
bdff7b37-3f2d-458c-acce-14105ce0f917,2025-11-12T20:38:33.884719,9,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,Tesla V100-PCIE-32GB,9610,0.0,0.0,0.0,0.0,0.0,0.0,16.922528982162476,0.9595725876944405,23.63953709602356,7,poisson,10.0
533ee21c-838a-4870-b443-7600b466825d,2025-11-12T20:38:34.707114,7,Qwen/Qwen2.5-1.5B-Instruct,Tesla V100-PCIE-32GB,7,0.0,0.0,0.0,0.0,0.0,0.0,14.605961799621582,0.03433522492348151,24.872194051742554,299,poisson,10.0
5ad61ac0-1fbc-4721-866b-e7e3f0150bee,2025-11-12T20:38:54.965157,6,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,Tesla V100-PCIE-32GB,4712,0.0,0.0,0.0,0.0,0.0,0.0,13.954556703567505,0.056709759489752716,45.31505370140076,553,poisson,10.0
0a9f9ad6-1b4c-4fa5-842c-bd995705311d,2025-11-12T20:39:05.218403,8,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,Tesla V100-PCIE-32GB,9,0.0,0.0,0.0,0.0,0.0,0.0,4.323210716247559,0.11815110374899472,6.331779479980469,17,microburst,5.0
f65a6e71-1b00-4838-b2c3-c8bfcd5b00aa,2025-11-12T20:39:05.838018,7,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.03405261039733887,0.012942654873008158,6.971315622329712,536,microburst,5.0
82803604-1d3a-45b7-bf82-e64b4e79f4d0,2025-11-12T20:39:06.445883,5,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,14,0.0,0.0,0.0,0.0,0.0,0.0,0.3165144920349121,0.013157201924204399,7.658233165740967,558,microburst,5.0
5decc4d3-b8a0-45cb-81c7-fc408bfa9472,2025-11-12T20:39:07.383197,2,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,Tesla V100-PCIE-32GB,6,0.0,0.0,0.0,12.101023435592651,0.06681059207618949,26.08637261390686,6.30199122428894,0.01042209095425076,8.646961688995361,225,microburst,5.0
5e8bfe10-cb24-431a-b281-13c412a58033,2025-11-12T20:39:15.201933,3,Qwen/Qwen1.5-0.5B,Tesla V100-PCIE-32GB,12,0.0,0.0,0.0,0.0,0.0,0.0,0.33806848526000977,0.01651117178109976,16.436460971832275,975,microburst,5.0
